年度,ID,所属
2018,80552562,情報通信研究機構
2018,70642669,筑波技術
2018,30403687,法政
2018,90193250,筑波
2018,20321606,基礎生物学研究所
2018,70503770,佐賀
2018,20216451,高知
2018,80281103,鳥取
2018,30342778,奈良先端科学技術大学院
2018,50463881,東京
2018,90815763,国立情報学研究所
2018,90340116,聖隷クリストファー
2018,20734411,神奈川
2018,10585350,大阪市立
2018,10589998,山口
2018,00457128,千葉
2018,10738090,慶應義塾
2018,40305470,横浜市立
2018,80419473,大阪
2018,10723778,東京
2018,20626874,筑波
2018,70792547,福島県環境創造センター
2018,10252884,大阪
2018,10432527,大阪
2018,10528425,茨城
2018,90435678,弘前
2018,20789987,国際協力機構
2018,80391134,国立環境研究所
2018,00278780,京都
2018,70769984,帝京
2018,70709352,国立情報学研究所
2018,60551918,奈良先端科学技術大学院
2018,90390707,奈良女子
2018,90643081,大谷
2018,70314060,中部
2018,40385505,東京農業
2018,30284912,九州
2018,20356299,九州
2018,70467687,神戸
2018,30293913,京都
2018,10232969,名古屋
2018,10375496,筑波
2018,50524815,岩手
2018,00344482,北海道
2018,30312200,人間文化研究機構国立国語研究所
2018,30225700,日本社会事業
2018,00314302,神戸
2018,30328679,大阪
2018,40242573,京都
2018,30609996,東京学芸
2018,10589641,筑波
2018,70709683,筑波
2018,00339996,順天堂
2018,00345141,熊本
2018,60308210,大阪
2018,90452713,九州
2018,10370983,国立精神・神経医療研究センター
2018,60569218,名古屋
2018,10280926,新潟
2018,60345733,国立障害者リハビリテーションセンター
2018,00171794,東京
2018,40294962,東京
2018,80252592,九州工業
2018,40638392,和歌山
2018,60174140,横浜国立
2018,90400457,国立環境研究所
2018,30800007,長崎
2018,20284169,広島
2018,00273954,神戸
2018,40211718,大阪
2018,20736350,信州
2018,80150100,東京外国語
2018,20183080,東京
2018,90360776,宇都宮
2018,80397554,大阪
2018,20288624,京都
2018,10365421,東京
2018,60250958,北海道
2018,50371084,産業技術総合研究所
2018,20324014,東北学院
2018,90380287,愛媛
2018,60402244,静岡
2018,00401141,山梨
2018,90444207,金沢
2018,70397165,富山
2018,00260034,東京
2018,60531043,国立極地研究所
2018,00421884,国立極地研究所
2018,70344017,京都
2018,80212231,名古屋
2018,90132860,東京農工
2018,50332474,北海道
2018,30329669,中部
