"","大区分","中区分コード","中区分","小区分コード","小区分"
"1","大区分A",1,"思想、芸術",1010,"哲学および倫理学"
"2","大区分A",1,"思想、芸術",1020,"中国哲学、印度哲学および仏教学"
"3","大区分A",1,"思想、芸術",1030,"宗教学"
"4","大区分A",1,"思想、芸術",1040,"思想史"
"5","大区分A",1,"思想、芸術",1050,"美学および芸術論"
"6","大区分A",1,"思想、芸術",1060,"美術史"
"7","大区分A",1,"思想、芸術",1070,"芸術実践論"
"8","大区分A",1,"思想、芸術",1080,"科学社会学および科学技術史"
"9","大区分A",1,"思想、芸術",90010,"デザイン学"
"10","大区分A",2,"文学、言語学",2010,"日本文学"
"11","大区分A",2,"文学、言語学",2020,"中国文学"
"12","大区分A",2,"文学、言語学",2030,"英文学および英語圏文学"
"13","大区分A",2,"文学、言語学",2040,"ヨーロッパ文学"
"14","大区分A",2,"文学、言語学",2050,"文学一般"
"15","大区分A",2,"文学、言語学",2060,"言語学"
"16","大区分A",2,"文学、言語学",2070,"日本語学"
"17","大区分A",2,"文学、言語学",2080,"英語学"
"18","大区分A",2,"文学、言語学",2090,"日本語教育"
"19","大区分A",2,"文学、言語学",2100,"外国語教育"
"20","大区分A",2,"文学、言語学",90020,"図書館情報学および人文社会情報学"
"21","大区分A",3,"歴史学、考古学、博物館学",3010,"史学一般"
"22","大区分A",3,"歴史学、考古学、博物館学",3020,"日本史"
"23","大区分A",3,"歴史学、考古学、博物館学",3030,"アジア史およびアフリカ史"
"24","大区分A",3,"歴史学、考古学、博物館学",3040,"ヨーロッパ史およびアメリカ史"
"25","大区分A",3,"歴史学、考古学、博物館学",3050,"考古学"
"26","大区分A",3,"歴史学、考古学、博物館学",3060,"文化財科学"
"27","大区分A",3,"歴史学、考古学、博物館学",3070,"博物館学"
"28","大区分A",4,"地理学、文化人類学、民俗学",4010,"地理学"
"29","大区分A",4,"地理学、文化人類学、民俗学",4020,"人文地理学"
"30","大区分A",4,"地理学、文化人類学、民俗学",4030,"文化人類学および民俗学"
"31","大区分A",4,"地理学、文化人類学、民俗学",80010,"地域研究"
"32","大区分A",4,"地理学、文化人類学、民俗学",80020,"観光学"
"33","大区分A",4,"地理学、文化人類学、民俗学",80030,"ジェンダー"
"34","大区分A",5,"法学",5010,"基礎法学"
"35","大区分A",5,"法学",5020,"公法学"
"36","大区分A",5,"法学",5030,"国際法学"
"37","大区分A",5,"法学",5040,"社会法学"
"38","大区分A",5,"法学",5050,"刑事法学"
"39","大区分A",5,"法学",5060,"民事法学"
"40","大区分A",5,"法学",5070,"新領域法学"
"41","大区分A",6,"政治学",6010,"政治学"
"42","大区分A",6,"政治学",6020,"国際関係論"
"43","大区分A",6,"政治学",80010,"地域研究"
"44","大区分A",6,"政治学",80030,"ジェンダー"
"45","大区分A",7,"経済学、経営学",7010,"理論経済学"
"46","大区分A",7,"経済学、経営学",7020,"経済学説および経済思想"
"47","大区分A",7,"経済学、経営学",7030,"経済統計"
