Name,type,旧帝大,旧六医大,新八医大,NISTEP,国立財務
お茶の水女子,国立,0,0,0,,H
愛知教育,国立,0,0,0,,E
愛媛,国立,0,0,0,G3,G
旭川医科,国立,0,0,0,,D
一橋,国立,0,0,0,,C
茨城,国立,0,0,0,,H
宇都宮,国立,0,0,0,,H
横浜国立,国立,0,0,0,,H
横浜市立,公立,0,0,0,G3,
岡山,国立,0,1,0,G2,A
岩手,国立,0,0,0,,H
岐阜,国立,0,0,0,G3,G
宮崎,国立,0,0,0,,G
宮城教育,国立,0,0,0,,E
京都,国立,1,0,0,G1,A
京都教育,国立,0,0,0,,E
京都工芸繊維,国立,0,0,0,,B
近畿,私立,0,0,0,G3,
金沢,国立,0,1,0,G2,G
九州,国立,1,0,0,G2,A
九州工業,国立,0,0,0,,B
熊本,国立,0,1,0,G3,G
群馬,国立,0,0,1,G3,G
慶應義塾,私立,0,0,0,G2,
広島,国立,0,0,1,G2,A
弘前,国立,0,0,1,,G
香川,国立,0,0,0,,G
高知,国立,0,0,0,,G
佐賀,国立,0,0,0,,G
埼玉,国立,0,0,0,,H
三重,国立,0,0,0,G3,G
山形,国立,0,0,0,G3,G
山口,国立,0,0,0,G3,G
山梨,国立,0,0,0,,G
滋賀,国立,0,0,0,,C
滋賀医科,国立,0,0,0,,D
鹿屋体育,国立,0,0,0,,B
鹿児島,国立,0,0,1,G3,G
室蘭工業,国立,0,0,0,,B
秋田,国立,0,0,0,,G
順天堂,私立,0,0,0,G3,
小樽商科,国立,0,0,0,,C
上越教育,国立,0,0,0,,E
信州,国立,0,0,1,G3,G
新潟,国立,0,1,0,G3,A
神戸,国立,0,0,0,G2,A
政策研究大学院,国立,0,0,0,,F
静岡,国立,0,0,0,G3,H
千葉,国立,0,1,0,G2,A
早稲田,私立,0,0,0,G2,
総合研究大学院,国立,0,0,0,,F
帯広畜産,国立,0,0,0,,B
大阪,国立,1,0,0,G1,A
大阪外国語,国立,0,0,0,,C
大阪教育,国立,0,0,0,,E
大阪市立,公立,0,0,0,G3,
大阪府立,公立,0,0,0,G3,
大分,国立,0,0,0,,G
筑波,国立,0,0,0,G2,A
筑波技術,国立,0,0,0,,C
長岡技術科学,国立,0,0,0,,B
長崎,国立,0,1,0,G3,G
鳥取,国立,0,0,1,G3,G
電気通信,国立,0,0,0,,B
島根,国立,0,0,0,,G
東海,私立,0,0,0,G3,
東京,国立,1,0,0,G1,A
東京医科歯科,国立,0,0,1,G3,D
東京海洋,国立,0,0,0,,B
東京外国語,国立,0,0,0,,C
東京学芸,国立,0,0,0,,E
東京工業,国立,0,0,0,G2,B
東京農工,国立,0,0,0,G3,B
東京理科,私立,0,0,0,G3,
東京藝術,国立,0,0,0,,C
東北,国立,1,0,0,G1,A
徳島,国立,0,0,1,G3,G
奈良教育,国立,0,0,0,,E
奈良女子,国立,0,0,0,,H
奈良先端科学技術大学院,国立,0,0,0,,F
日本,私立,0,0,0,G2,
浜松医科,国立,0,0,0,,D
富山,国立,0,0,0,G3,G
福井,国立,0,0,0,,G
福岡教育,国立,0,0,0,,E
福島,国立,0,0,0,,C
兵庫教育,国立,0,0,0,,E
豊橋技術科学,国立,0,0,0,,B
北海道,国立,1,0,0,G2,A
北海道教育,国立,0,0,0,,E
北見工業,国立,0,0,0,,B
北里,私立,0,0,0,G3,
北陸先端科学技術大学院,国立,0,0,0,,F
名古屋,国立,1,0,0,G2,A
名古屋工業,国立,0,0,0,G3,B
鳴門教育,国立,0,0,0,,E
琉球,国立,0,0,0,,G
和歌山,国立,0,0,0,,H
東京女子医科,私立,0,0,0,G3,
