大区分,中区分コード,中区分,小区分コード,小区分
大区分A,1,思想、芸術およびその関連分野,1010,哲学および倫理学関連
大区分A,1,思想、芸術およびその関連分野,1020,中国哲学、印度哲学および仏教学関連
大区分A,1,思想、芸術およびその関連分野,1030,宗教学関連
大区分A,1,思想、芸術およびその関連分野,1040,思想史関連
大区分A,1,思想、芸術およびその関連分野,1050,美学および芸術論関連
大区分A,1,思想、芸術およびその関連分野,1060,美術史関連
大区分A,1,思想、芸術およびその関連分野,1070,芸術実践論関連
大区分A,1,思想、芸術およびその関連分野,1080,科学社会学および科学技術史関連
大区分A,1,思想、芸術およびその関連分野,90010,デザイン学関連
大区分A,2,文学、言語学およびその関連分野,2010,日本文学関連
大区分A,2,文学、言語学およびその関連分野,2020,中国文学関連
大区分A,2,文学、言語学およびその関連分野,2030,英文学および英語圏文学関連
大区分A,2,文学、言語学およびその関連分野,2040,ヨーロッパ文学関連
大区分A,2,文学、言語学およびその関連分野,2050,文学一般関連
大区分A,2,文学、言語学およびその関連分野,2060,言語学関連
大区分A,2,文学、言語学およびその関連分野,2070,日本語学関連
大区分A,2,文学、言語学およびその関連分野,2080,英語学関連
大区分A,2,文学、言語学およびその関連分野,2090,日本語教育関連
大区分A,2,文学、言語学およびその関連分野,2100,外国語教育関連
大区分A,2,文学、言語学およびその関連分野,90020,図書館情報学および人文社会情報学関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3010,史学一般関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3020,日本史関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3030,アジア史およびアフリカ史関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3040,ヨーロッパ史およびアメリカ史関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3050,考古学関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3060,文化財科学関連
大区分A,3,歴史学、考古学、博物館学およびその関連分野,3070,博物館学関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,4010,地理学関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,4020,人文地理学関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,4030,文化人類学および民俗学関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,80010,地域研究関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,80020,観光学関連
大区分A,4,地理学、文化人類学、民俗学およびその関連分野,80030,ジェンダー関連
大区分A,5,法学およびその関連分野,5010,基礎法学関連
大区分A,5,法学およびその関連分野,5020,公法学関連
大区分A,5,法学およびその関連分野,5030,国際法学関連
大区分A,5,法学およびその関連分野,5040,社会法学関連
大区分A,5,法学およびその関連分野,5050,刑事法学関連
大区分A,5,法学およびその関連分野,5060,民事法学関連
大区分A,5,法学およびその関連分野,5070,新領域法学関連
大区分A,6,政治学およびその関連分野,6010,政治学関連
大区分A,6,政治学およびその関連分野,6020,国際関係論関連
大区分A,6,政治学およびその関連分野,80010,地域研究関連
大区分A,6,政治学およびその関連分野,80030,ジェンダー関連
大区分A,7,経済学、経営学およびその関連分野,7010,理論経済学関連
大区分A,7,経済学、経営学およびその関連分野,7020,経済学説および経済思想関連
大区分A,7,経済学、経営学およびその関連分野,7030,経済統計関連
大区分A,7,経済学、経営学およびその関連分野,7040,経済政策関連
大区分A,7,経済学、経営学およびその関連分野,7050,公共経済および労働経済関連
大区分A,7,経済学、経営学およびその関連分野,7060,金融およびファイナンス関連
大区分A,7,経済学、経営学およびその関連分野,7070,経済史関連
大区分A,7,経済学、経営学およびその関連分野,7080,経営学関連
大区分A,7,経済学、経営学およびその関連分野,7090,商学関連
大区分A,7,経済学、経営学およびその関連分野,7100,会計学関連
大区分A,7,経済学、経営学およびその関連分野,80020,観光学関連
大区分A,8,社会学およびその関連分野,8010,社会学関連
大区分A,8,社会学およびその関連分野,8020,社会福祉学関連
大区分A,8,社会学およびその関連分野,8030,家政学および生活科学関連
大区分A,8,社会学およびその関連分野,80020,観光学関連
大区分A,8,社会学およびその関連分野,80030,ジェンダー関連
大区分A,9,教育学およびその関連分野,9010,教育学関連
大区分A,9,教育学およびその関連分野,9020,教育社会学関連
大区分A,9,教育学およびその関連分野,9030,子ども学および保育学関連
大区分A,9,教育学およびその関連分野,9040,教科教育学および初等中等教育学関連
大区分A,9,教育学およびその関連分野,9050,高等教育学関連
大区分A,9,教育学およびその関連分野,9060,特別支援教育関連
大区分A,9,教育学およびその関連分野,9070,教育工学関連
大区分A,9,教育学およびその関連分野,9080,科学教育関連
大区分A,9,教育学およびその関連分野,2090,日本語教育関連
大区分A,9,教育学およびその関連分野,2100,外国語教育関連
大区分A,10,心理学およびその関連分野,10010,社会心理学関連
大区分A,10,心理学およびその関連分野,10020,教育心理学関連
大区分A,10,心理学およびその関連分野,10030,臨床心理学関連
大区分A,10,心理学およびその関連分野,10040,実験心理学関連
大区分A,10,心理学およびその関連分野,90030,認知科学関連
大区分B,11,代数学、幾何学およびその関連分野,11010,代数学関連
大区分B,11,代数学、幾何学およびその関連分野,11020,幾何学関連
大区分B,12,解析学、応用数学およびその関連分野,12010,基礎解析学関連
大区分B,12,解析学、応用数学およびその関連分野,12020,数理解析学関連
大区分B,12,解析学、応用数学およびその関連分野,12030,数学基礎関連
大区分B,12,解析学、応用数学およびその関連分野,12040,応用数学および統計数学関連
大区分B,13,物性物理学およびその関連分野,13010,数理物理および物性基礎関連
大区分B,13,物性物理学およびその関連分野,13020,半導体、光物性および原子物理関連
大区分B,13,物性物理学およびその関連分野,13030,磁性、超伝導および強相関系関連
大区分B,13,物性物理学およびその関連分野,13040,生物物理、化学物理およびソフトマターの物理関連
大区分B,14,プラズマ学およびその関連分野,14010,プラズマ科学関連
大区分B,14,プラズマ学およびその関連分野,14020,核融合学関連
大区分B,14,プラズマ学およびその関連分野,14030,プラズマ応用科学関連
大区分B,14,プラズマ学およびその関連分野,80040,量子ビーム科学関連
大区分B,15,素粒子、原子核、宇宙物理学およびその関連分野,80040,量子ビーム科学関連
大区分B,15,素粒子、原子核、宇宙物理学およびその関連分野,15010,素粒子、原子核、宇宙線および宇宙物理に関連する理論
大区分B,15,素粒子、原子核、宇宙物理学およびその関連分野,15020,素粒子、原子核、宇宙線および宇宙物理に関連する実験
大区分B,16,天文学およびその関連分野,16010,天文学関連
大区分B,17,地球惑星科学およびその関連分野,17010,宇宙惑星科学関連
大区分B,17,地球惑星科学およびその関連分野,17020,大気水圏科学関連
大区分B,17,地球惑星科学およびその関連分野,17030,地球人間圏科学関連
大区分B,17,地球惑星科学およびその関連分野,17040,固体地球科学関連
大区分B,17,地球惑星科学およびその関連分野,17050,地球生命科学関連
大区分C,18,材料力学、生産工学、設計工学およびその関連分野,18010,材料力学および機械材料関連
大区分C,18,材料力学、生産工学、設計工学およびその関連分野,18020,加工学および生産工学関連
大区分C,18,材料力学、生産工学、設計工学およびその関連分野,18030,設計工学関連
大区分C,18,材料力学、生産工学、設計工学およびその関連分野,18040,機械要素およびトライボロジー関連
大区分C,19,流体工学、熱工学およびその関連分野,19010,流体工学関連
大区分C,19,流体工学、熱工学およびその関連分野,19020,熱工学関連
大区分C,20,機械力学、ロボティクスおよびその関連分野,20010,機械力学およびメカトロニクス関連
大区分C,20,機械力学、ロボティクスおよびその関連分野,20020,ロボティクスおよび知能機械システム関連
大区分C,21,電気電子工学およびその関連分野,21010,電力工学関連
大区分C,21,電気電子工学およびその関連分野,21020,通信工学関連
大区分C,21,電気電子工学およびその関連分野,21030,計測工学関連
大区分C,21,電気電子工学およびその関連分野,21040,制御およびシステム工学関連
大区分C,21,電気電子工学およびその関連分野,21050,電気電子材料工学関連
大区分C,21,電気電子工学およびその関連分野,21060,電子デバイスおよび電子機器関連
大区分C,22,土木工学およびその関連分野,22010,土木材料、施工および建設マネジメント関連
大区分C,22,土木工学およびその関連分野,22020,構造工学および地震工学関連
大区分C,22,土木工学およびその関連分野,22030,地盤工学関連
大区分C,22,土木工学およびその関連分野,22040,水工学関連
大区分C,22,土木工学およびその関連分野,22050,土木計画学および交通工学関連
大区分C,22,土木工学およびその関連分野,22060,土木環境システム関連
大区分C,23,建築学およびその関連分野,23010,建築構造および材料関連
大区分C,23,建築学およびその関連分野,23020,建築環境および建築設備関連
大区分C,23,建築学およびその関連分野,23030,建築計画および都市計画関連
大区分C,23,建築学およびその関連分野,23040,建築史および意匠関連
大区分C,23,建築学およびその関連分野,90010,デザイン学関連
大区分C,24,航空宇宙工学、船舶海洋工学およびその関連分野,24010,航空宇宙工学関連
大区分C,24,航空宇宙工学、船舶海洋工学およびその関連分野,24020,船舶海洋工学関連
大区分C,25,社会システム工学、安全工学、防災工学およびその関連分野,25010,社会システム工学関連
